,Infected,Deaths,Recovered
0,1.0,0.0,0.0
1,1.0383567142604035,0.0006327596087167165,0.013262931542011915
2,1.1357321869433992,0.0036691842714999413,0.04752415357265745
3,1.276861770965636,0.009373978997513579,0.09771889329154423
4,1.455564667016992,0.01748078734502529,0.161642038732063
5,1.6706446761274438,0.02778472710737367,0.23880347053379689
6,1.9238935821219156,0.04024126119917818,0.32979213476318503
7,2.219106262970399,0.054949177075197746,0.43593517005574245
8,2.5616143541052594,0.07212015991036229,0.5591272652805624
9,2.9581010264423497,0.09205756395553519,0.7017591050543343
10,3.41657751127893,0.11514603749976823,0.8667051258771021
11,3.946460094344081,0.141849456542035,1.057348760545805
12,4.558716469151494,0.1727147270531795,1.2776336175740486
13,5.266066602900656,0.20837983340223692,1.5321348927822362
14,6.08323240340261,0.249585241275344,1.8261487086576735
15,7.0272360883283955,0.2971882738744303,2.1657991905354383
16,8.11775016140215,0.3521803827796308,2.558164231696345
17,9.377504908555126,0.4157074870350206,3.011422023412514
18,10.832760750711635,0.4890936750037788,3.535020958534554
19,12.513854897422922,0.5738687054683096,4.139876290248409
20,14.455833168746036,0.6717998328213486,4.838597446563461
21,16.699180607133414,0.7849286305958687,5.645750896476174
22,19.290665340894133,0.9156135350541927,6.578163768053117
23,22.284313177956534,1.0665789861326986,7.655274505706419
24,25.742534157961774,1.240972235907436,8.899538204553672
25,29.737423454279103,1.4424289480742638,10.336894676254804
26,34.35226436633072,1.675148994475852,11.997309230602069
27,39.683264761065146,1.9439840191577429,13.915397451730193
28,45.84156237792209,2.254538561365522,16.13114671392056
29,52.95554190530722,2.613286925021224,18.690749885964475
30,61.17351143470476,3.0277081034305144,21.647568315898322
31,70.66679413995864,3.506441753763668,25.063244265214266
32,81.63329988712412,4.0594682837541205,29.00898599273167
33,94.30165106853175,4.698316892592666,33.56705226116118
34,108.93594844593963,5.436305960564138,38.83246716375397
35,125.84127707093155,6.288820694567542,44.91500122302015
36,145.37006491218762,7.273633804926096,51.941459331719045
37,167.92943183396014,8.41127612858146,60.058325058786224
38,193.98967444197808,9.725464537024116,69.43481368860323
39,224.09407050526994,11.243596399089725,80.26640011048457
40,258.87020306982913,12.997320695362927,92.77889358320934
41,299.04304246880014,15.023197796818046,107.2331451093249
42,345.4500598152304,17.363461725439716,123.93048590216597
43,399.0586802472954,20.066900393390736,143.2190078909258
44,460.9864491307454,23.189872780948072,165.50082066909704
45,532.5243243668995,26.797483722639523,191.24043355875006
46,615.1635823884541,30.964941015889224,220.97443839556598
47,710.6268985780689,35.77912329529332,255.3226950175253
48,820.904247794651,41.34039086050636,295.00125183468214
49,948.2943781855068,47.76467794200743,340.8372729700122
50,1095.4527063462792,55.18590894407528,393.7862773921002
51,1265.446611520656,63.758788159848805,454.95204240006024
52,1461.819442286991,73.6620292768121,525.6096447822158
53,1688.664277296664,85.10207734929668,607.2320153545768
54,1950.708982916376,98.31740121310627,701.520563170701
55,2253.415154100467,113.5834871038108,810.440802180604
56,2603.0913773150346,131.2185558197052,936.2631397149484
57,3007.0248341829706,151.59020669883114,1081.6102766319473
58,3473.6329038298586,175.12307250087886,1249.5118192451414
59,4012.638371856284,202.30766810290527,1443.4674069399543
60,4635.271673963503,233.71060675418653,1667.519595976938
61,5354.504556354505,269.98640669356917,1926.3380864069675
62,6185.319712856642,311.89111978078404,2225.316945297377
63,7145.0221850558455,360.2980758470741,2570.68692572605
64,8253.598842467778,416.2160678934318,2969.6451788605395
65,9534.133331209367,480.8103495298762,3430.5050462247627
66,11013.285005739855,555.4268858465452,3962.869039644705
67,12721.841642202578,641.6203601046884,4577.828590263473
68,14695.357267323465,741.1865125322058,5288.194716406075
69,16974.88779804331,856.199474008306,6108.764281164822
70,19607.83883507044,989.0548337670465,7056.627131666163
71,22648.94623366824,1142.5195105498017,8151.52173180291
72,26161.402056405524,1319.7890972842642,9416.244053925853
73,30218.154573260515,1524.554176277923,10877.120388273475
74,34903.4062899245,1761.0768860466935,12564.553178399003
75,40314.33659155317,2034.279171516781,14513.650063844676
76,46563.084420109866,2349.8446459415486,16764.949819010773
77,53779.026603065475,2714.336053221766,19365.25931955006
78,62111.39329763158,3135.3307183232614,22368.618425357945
79,71732.26492905049,3621.576662563352,25837.411759782906
80,82839.9978013887,4183.172464825514,29843.649061273292
81,95663.1255362671,4831.774374238489,34470.43879415628
82,110464.77615560514,5580.834554819836,39813.68204912171
83,127547.63006287695,6445.874983449357,45984.01801564572
84,147259.39950861904,7444.8016114769425,53109.05222164422
85,169998.73516823223,8598.264209423349,61335.90321647339
86,196221.29885587344,9930.066780019837,70834.09749474748
87,226445.44215893262,11467.633313773833,81798.83721416147
88,261256.35552454597,13242.531699488038,94454.64411661503
89,301306.53405391367,15291.05459323846,109059.34056305823
90,347308.62927494996,17654.84777078305,125908.24525289069
91,400013.8348587209,20381.56095923594,145338.30862042904
92,460164.9902681847,23525.466980041656,167731.63720795474
93,528409.5610694644,27147.94624663869,193517.41266581908
94,605159.0269537197,31317.656758448116,223170.56461354878
